time, solar
0, 5.0
120, 3.0
240, 0.0
360, 6.0
480, 3.0
600, 5.0
720, 6.0
840, 2.0
960, 6.0
1080, 4.0
1200, 5.0
1320, 6.0
1440, 7.0
1560, 3.0
1680, 8.0
1800, 4.0
1920, 1.0
2040, 4.0
2160, 5.0
2280, 4.0
2400, 1.0
2520, 3.0
2640, 4.0
2760, 4.0
2880, 5.0
3000, 6.0
3120, 3.0
3240, 0.0
3360, 2.0
3480, 6.0
3600, 4.0
3720, 7.0
3840, 1.0
3960, 5.0
4080, 2.0
4200, 2.0
4320, 0.0
4440, 4.0
4560, 1.0
4680, 3.0
4800, 3.0
4920, 4.0
5040, 3.0
5160, 1.0
5280, 3.0
5400, 3.0
5520, 5.0
5640, 2.0
5760, 4.0
5880, 5.0
6000, 3.0
6120, 3.0
6240, 5.0
6360, 3.0
6480, 8.0
6600, 2.0
6720, 5.0
6840, 5.0
6960, 5.0
7080, 2.0
7200, 2.0
7320, 7.0
7440, 3.0
7560, 3.0
7680, 4.0
7800, 4.0
7920, 3.0
8040, 2.0
8160, 5.0
8280, 4.0
8400, 2.0
8520, 4.0
8640, 3.0
8760, 2.0
8880, 2.0
9000, 3.0
9120, 3.0
9240, 3.0
9360, 6.0
9480, 3.0
9600, 1.0
9720, 5.0
9840, 2.0
9960, 3.0
10080, 5.0
10200, 3.0
10320, 4.0
10440, 2.0
10560, 3.0
10680, 1.0
10800, 4.0
10920, 4.0
11040, 2.0
11160, 3.0
11280, 1.0
11400, 2.0
11520, 3.0
11640, 2.0
11760, 4.0
11880, 4.0
12000, 4.0
12120, 4.0
12240, 9.0
12360, 10.0
12480, 10.0
12600, 8.0
12720, 9.0
12840, 8.0
12960, 9.0
13080, 13.0
13200, 10.0
13320, 6.0
13440, 10.0
13560, 8.0
13680, 9.0
13800, 7.0
13920, 12.0
14040, 8.0
14160, 10.0
14280, 7.0
14400, 8.0
14520, 9.0
14640, 6.0
14760, 4.0
14880, 5.0
15000, 8.0
15120, 11.0
15240, 10.0
15360, 8.0
15480, 8.0
15600, 7.0
15720, 5.0
15840, 9.0
15960, 12.0
16080, 11.0
16200, 9.0
16320, 8.0
16440, 9.0
16560, 8.0
16680, 11.0
16800, 6.0
16920, 7.0
17040, 5.0
17160, 12.0
17280, -19.0
17400, 10.0
17520, 22.0
17640, 37.0
17760, 44.0
17880, 35.0
18000, 47.0
18120, 72.0
18240, 72.0
18360, 84.0
18480, 81.0
18600, 92.0
18720, 104.0
18840, 104.0
18960, 119.0
19080, 122.0
19200, 132.0
19320, 116.0
19440, 104.0
19560, 107.0
19680, 102.0
19800, 98.0
19920, 98.0
20040, 100.0
20160, 100.0
20280, 111.0
20400, 116.0
20520, 118.0
20640, 113.0
20760, 120.0
20880, 121.0
21000, 123.0
21120, 115.0
21240, 126.0
21360, 126.0
21480, 137.0
21600, 131.0
21720, 125.0
21840, 132.0
21960, 139.0
22080, 140.0
22200, 156.0
22320, 161.0
22440, 161.0
22560, 166.0
22680, 164.0
22800, 171.0
22920, 168.0
23040, 415.0
23160, 1031.0
23280, 1206.0
23400, 1218.0
23520, 1246.0
23640, 1308.0
23760, 1308.0
23880, 1335.0
24000, 1344.0
24120, 1394.0
24240, 1410.0
24360, 1460.0
24480, 1485.0
